2013-02-28 06:48:15 status unpacked bash:i386 4.2+dfsg-0.1
2013-02-28 06:48:15 status unpacked bash:i386 4.2+dfsg-0.1
2013-02-28 06:48:15 install libbz2-1.0:i386 <none> 1.0.6-4
2013-02-28 06:48:15 status half-installed libbz2-1.0:i386 1.0.6-4
2013-02-28 06:48:15 status unpacked libbz2-1.0:i386 1.0.6-4
2013-02-28 06:48:15 status unpacked libbz2-1.0:i386 1.0.6-4
2013-02-28 06:48:15 install coreutils:i386 <none> 8.13-3.3
2013-02-28 06:48:15 status half-installed coreutils:i386 8.13-3.3
2013-02-28 06:48:16 status unpacked coreutils:i386 8.13-3.3
2013-02-28 06:48:16 status unpacked coreutils:i386 8.13-3.3
2013-02-28 06:48:16 install dash:i386 <none> 0.5.7-3
2013-02-28 06:48:16 status half-installed dash:i386 0.5.7-3
2013-02-28 06:48:16 status unpacked dash:i386 0.5.7-3
2013-02-28 06:48:16 status unpacked dash:i386 0.5.7-3
2013-02-28 06:48:16 install libdb5.1:i386 <none> 5.1.29-5
2013-02-28 06:48:16 status half-installed libdb5.1:i386 5.1.29-5
2013-02-28 06:48:16 status unpacked libdb5.1:i386 5.1.29-5
2013-02-28 06:48:16 status unpacked libdb5.1:i386 5.1.29-5
2013-02-28 06:48:16 upgrade debconf:all 1.5.49 1.5.49
2013-02-28 06:48:16 status half-configured debconf:all 1.5.49
2013-02-28 06:48:16 status unpacked debconf:all 1.5.49
2013-02-28 06:48:16 status half-installed debconf:all 1.5.49
2013-02-28 06:48:16 status half-installed debconf:all 1.5.49
2013-02-28 06:48:16 status unpacked debconf:all 1.5.49
2013-02-28 06:48:16 status unpacked debconf:all 1.5.49
2013-02-28 06:48:16 install debconf-i18n:all <none> 1.5.49
2013-02-28 06:48:16 status half-installed debconf-i18n:all 1.5.49
2013-02-28 06:48:17 status unpacked debconf-i18n:all 1.5.49
2013-02-28 06:48:17 status unpacked debconf-i18n:all 1.5.49
2013-02-28 06:48:17 install debianutils:i386 <none> 4.3.4
2013-02-28 06:48:17 status half-installed debianutils:i386 4.3.4
2013-02-28 06:48:17 status unpacked debianutils:i386 4.3.4
2013-02-28 06:48:17 status unpacked debianutils:i386 4.3.4
2013-02-28 06:48:17 install diffutils:i386 <none> 1:3.2-8
2013-02-28 06:48:17 status half-installed diffutils:i386 1:3.2-8
2013-02-28 06:48:17 status unpacked diffutils:i386 1:3.2-8
2013-02-28 06:48:17 status unpacked diffutils:i386 1:3.2-8
2013-02-28 06:48:17 upgrade dpkg:i386 1.16.9 1.16.9
2013-02-28 06:48:17 status half-configured dpkg:i386 1.16.9
2013-02-28 06:48:17 status unpacked dpkg:i386 1.16.9
2013-02-28 06:48:17 status half-installed dpkg:i386 1.16.9
2013-02-28 06:48:17 status half-installed dpkg:i386 1.16.9
2013-02-28 06:48:17 status unpacked dpkg:i386 1.16.9
2013-02-28 06:48:17 status unpacked dpkg:i386 1.16.9
2013-02-28 06:48:17 install e2fslibs:i386 <none> 1.42.5-1
2013-02-28 06:48:17 status half-installed e2fslibs:i386 1.42.5-1
2013-02-28 06:48:17 status unpacked e2fslibs:i386 1.42.5-1
2013-02-28 06:48:17 status unpacked e2fslibs:i386 1.42.5-1
2013-02-28 06:48:17 install e2fsprogs:i386 <none> 1.42.5-1
2013-02-28 06:48:17 status half-installed e2fsprogs:i386 1.42.5-1
2013-02-28 06:48:17 status unpacked e2fsprogs:i386 1.42.5-1
2013-02-28 06:48:17 status unpacked e2fsprogs:i386 1.42.5-1
2013-02-28 06:48:17 install libcomerr2:i386 <none> 1.42.5-1
2013-02-28 06:48:17 status half-installed libcomerr2:i386 1.42.5-1
2013-02-28 06:48:17 status unpacked libcomerr2:i386 1.42.5-1
2013-02-28 06:48:17 status unpacked libcomerr2:i386 1.42.5-1
2013-02-28 06:48:17 install libss2:i386 <none> 1.42.5-1
2013-02-28 06:48:17 status half-installed libss2:i386 1.42.5-1
2013-02-28 06:48:17 status unpacked libss2:i386 1.42.5-1
2013-02-28 06:48:17 status unpacked libss2:i386 1.42.5-1
2013-02-28 06:48:17 install libc-bin:i386 <none> 2.13-38
2013-02-28 06:48:17 status half-installed libc-bin:i386 2.13-38
